End;RFIn;RFOut;RFWriteSrc;RFReadDest;XIn;MUXConst;ALUOpcode;ZIn;ZOut;PCIn;PCOut;IR1In;IR2In;memRead;memWrite;memAddress;memDataIn;memDataOut;interOut;isJump;jmpInterest;jmpCond;clrFlags;setFlag
COMMON0;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;00000;0;0;0;1;0;0;0;0;1;0;0;0;0;0000;0000;0;0000
COMMON1;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;00000;0;0;0;0;1;0;1;0;0;0;1;0;0;0000;0000;0;0000
COMMON2;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;1;00001;1;0;0;1;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
COMMON3;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;00000;0;1;1;0;0;0;0;0;1;0;0;0;0;0000;0000;0;0000
COMMON4;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;00000;0;0;0;0;0;1;1;0;0;0;1;0;0;0000;0000;0;0000
COMMON5;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;1;00001;1;0;0;1;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
COMMON6;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;00000;0;1;1;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
NO OP;;0;0;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;0;0;0;00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <-R1;;1;1;;;;;;;;;;;;;;;;;;;;;
1;1;1;0;0;0;0;00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- INTER;;2;2;;;;;;;;;;;;;;;;;;;;;
1;1;0;0;0;0;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;0;0000;0000;0;0000
R2 <- M(R1);;3;3;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;0;0;0;00000;0;0;0;0;0;0;0;0;1;0;0;0;0;0000;0000;0;0000
1;1;0;0;0;0;0;00000;0;0;0;0;0;0;1;0;0;0;1;0;0;0000;0000;0;0000
R2 <- M(INTER);;4;5;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;00000;0;0;0;0;0;0;0;0;1;0;0;1;0;0000;0000;0;0000
1;1;0;0;0;0;0;00000;0;0;0;0;0;0;1;0;0;0;1;0;0;0000;0000;0;0000
M(R2) <- R1;;5;7;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;0;0;0;00000;0;0;0;0;0;0;0;0;0;1;0;0;0;0000;0000;0;0000
0;0;1;0;1;0;0;00000;0;0;0;0;0;0;0;0;1;0;0;0;0;0000;0000;0;0000
1;0;0;0;0;0;0;00000;0;0;0;0;0;0;0;1;0;0;0;0;0;0000;0000;0;0000
M(INTER) <- R1;;6;10;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;0;0;0;00000;0;0;0;0;0;0;0;0;0;1;0;0;0;0000;0000;0;0000
0;0;0;0;0;0;0;00000;0;0;0;0;0;0;0;0;1;0;0;1;0;0000;0000;0;0000
1;0;0;0;0;0;0;00000;0;0;0;0;0;0;0;1;0;0;0;0;0;0000;0000;0;0000
M(R2) <- INTER;;7;13;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;1;0;0;00000;0;0;0;0;0;0;0;0;1;0;0;0;0;0000;0000;0;0000
0;0;0;0;0;0;0;00000;0;0;0;0;0;0;0;0;0;1;0;1;0;0000;0000;0;0000
1;0;0;0;0;0;0;00000;0;0;0;0;0;0;0;1;0;0;0;0;0;0000;0000;0;0000
R2 <- R1 + R2;;8;16;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;1;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
0;0;1;0;0;0;0;00001;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;1111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- R2 + INTER;;9;19;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;0;0000;0000;0;0000
0;0;1;0;1;0;0;00001;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;1111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- R2 + 1;;10;22;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;1;0;1;00001;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;1111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- R1 -  R2;;11;24;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;1;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
0;0;1;0;0;0;0;00010;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;1111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- R2 - INTER;;12;27;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;0;0000;0000;0;0000
0;0;1;0;1;0;0;00010;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;1111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- INTER - R2;;13;30;;;;;;;;;;;;;;;;;;;;;
